serial number,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
29448,Binaural Odyssey,/app/1421100/,10/15/20,3,25,3,28,75.03,Free to Play (37),"Casual (4), Free to Play (37)",Yle Sandbox,Yle Sandbox,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,9/18/20,89,0,1,3,11/1/20
29449,Panmorphia,/app/1421690/,11/6/20,5,25,3,28,75.03,Adventure (25),"Adventure (25), Casual (4), Indie (23)",LKMAD,LKMAD,Engine.Unity,11/2/20,89,0,1,5,11/8/20
29450,Mini Car Money Chase,/app/1493410/,12/21/20,3,25,3,28,75.03,Racing (9),"Action (1), Racing (9), Sports (18)",KazakovStudios,xproject,Engine.Unity,3/5/23,89,0,1,3,12/21/20
29451,StarCrossed,/app/956560/,2/11/20,19,56,10,66,75.02,Indie (23),"Action (1), Indie (23)",Whitethorn Games,Contigo Games,Engine.Unity,3/9/20,84,0,1,19,2/12/20
29452,Perfect Round Disc Golf,/app/1029570/,3/12/20,15,56,10,66,75.02,Sports (18),"Casual (4), Indie (23), Simulation (28), Sports (18), Early Access (70)",Tree Branch Games,Tree Branch Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,10/28/22,85,0,1,15,9/27/22
29453,Undungeon Arena,/app/1276730/,10/29/20,18,56,10,66,75.02,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",tinyBuild,Laughing Machines,Engine.Unity; SDK.FMOD; SDK.SteamworksNET,12/7/20,84,0,0,18,10/30/20
29454,apartment: a separated place,/app/435730/,2/14/20,3,9,0,9,75,Indie (23),"Adventure (25), Indie (23)",The Elsewhere Company,The Elsewhere Company,Engine.Unity,11/12/19,,0,0,3,2/15/20
29455,Cryogear,/app/600520/,4/17/20,4,9,0,9,75,Action (1),"Action (1), Indie (23), RPG (3)",PolarityFlow,PolarityFlow Adrian Zingg,Engine.GameMaker,11/3/22,,0,0,4,4/18/20
29456,Spear Master,/app/878770/,5/15/20,4,9,0,9,75,Action (1),"Action (1), Casual (4), Indie (23)",Osarion,Osarion,Engine.Unity,5/5/20,,0,0,4,5/18/20
29457,Iridium,/app/1014850/,8/27/20,4,9,0,9,75,Action (1),"Action (1), Indie (23)",Nebula-Design,James Roberts,SDK.Vorbis,8/31/20,,0,1,4,8/30/20
