serial number,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
0,Pizza Tower,/app/2231450/,1/26/23,4529,19807,227,20034,96.39,Action (1),"Action (1), Indie (23)",Tour De Pizza,Tour De Pizza,Engine.GameMaker; SDK.FMOD,1/10/23,98,"3,101","3,606",4529,3/25/23
1,Resident Evil 4,/app/2050650/,3/24/23,168191,61752,1616,63368,95.75,Action (1),"Action (1), Adventure (25)",CAPCOM Co. Ltd.,CAPCOM Co. Ltd.,Engine.RE_Engine; SDK.AMD_GPU_Services,3/29/23,97,"46,289","47,164",168191,3/25/23
2,The Murder of Sonic the Hedgehog,/app/2324650/,3/31/23,15543,12643,213,12856,95.54,Casual (4),"Casual (4), Free to Play (37), Indie (23), Simulation (28)",SEGA,SEGA,Engine.Unity; SDK.UnityBurst; SDK.cURL,3/24/23,98,618,776,15543,3/31/23
3,Pineapple on pizza,/app/2263010/,3/28/23,1415,11717,209,11926,95.39,Indie (23),"Casual (4), Free to Play (37), Indie (23)",Majorariatto,Majorariatto,Engine.Unity; SDK.cURL,3/22/23,98,101,101,1415,3/28/23
4,Hi-Fi RUSH,/app/1817230/,1/25/23,6132,14152,324,14476,95.09,Action (1),Action (1),Bethesda Softworks,Tango Gameworks,Engine.Unreal; SDK.Intel_OID; SDK.Intel_XeSS; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,4/11/23,97,630,664,6132,1/29/23
5,东北之夏,/app/2121360/,1/9/23,8672,8891,165,9056,95.08,RPG (3),"Free to Play (37), RPG (3)",庄不纯工作室,庄不纯工作室,Engine.Unity,9/29/22,98,62,75,8672,1/10/23
6,Crab Champions,/app/774801/,4/1/23,8564,5129,81,5210,94.76,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23), Racing (9), Strategy (2), Early Access (70)",Noisestorm Limited,Noisestorm Limited,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,4/2/23,98,"4,142","6,419",8564,4/8/23
7,Papa's Freezeria Deluxe,/app/2291760/,3/31/23,1227,1832,20,1852,93.84,Strategy (2),"Action (1), Casual (4), Indie (23), Simulation (28), Strategy (2)",Flipline Studios,Flipline Studios,Engine.Adobe_AIR,3/28/23,99,661,838,1227,4/2/23
8,A Space for the Unbound,/app/1201270/,1/19/23,338,1917,27,1944,93.64,Adventure (25),"Adventure (25), Indie (23)",Toge Productions,Mojiken,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,2/14/23,98,63,63,338,1/20/23
9,Handshakes,/app/2171690/,1/13/23,195,1166,10,1176,93.3,Free to Play (37),"Casual (4), Free to Play (37)",Pet Pumpkin,Pet Pumpkin,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/26/23,99,8,15,195,1/21/23
10,候鸟,/app/1765350/,1/11/23,162,1149,12,1161,93.12,Adventure (25),Adventure (25),Syawase Works China,KIDFansClub,Engine.RenPy,1/10/23,98,19,20,162,2/27/23
11,Симулятор Побега от Военкомата,/app/1248090/,4/3/23,775,1995,42,2037,93.1,Indie (23),"Action (1), Adventure (25), Indie (23), Simulation (28)",Pirotexnik,Pirotexnik,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/24/23,97,127,157,775,4/6/23
12,I commissioned some bees 0,/app/2250060/,1/12/23,374,1733,36,1769,92.92,Indie (23),"Casual (4), Free to Play (37), Indie (23)",Follow The Fun,Follow The Fun,nan,1/12/23,97,21,31,374,1/16/23
13,Spin Rhythm XD,/app/1058830/,3/14/23,313,2909,86,2995,92.89,Indie (23),"Action (1), Casual (4), Indie (23)",Super Spin Digital,Super Spin Digital,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,3/15/23,97,57,69,313,4/14/20
14,OCTOPATH TRAVELER II,/app/1971650/,2/24/23,17008,4403,158,4561,92.85,RPG (3),RPG (3),Square Enix,Square Enix,Engine.Unreal; SDK.CRIWARE; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,3/23/23,96,"3,206","3,388",17008,2/26/23
15,Boneraiser Minions,/app/1944570/,3/9/23,2029,3093,97,3190,92.82,Action (1),"Action (1), Casual (4), Indie (23), RPG (3)",caiys,caiys,Engine.GameMaker,8/1/22,96,332,374,2029,3/19/23
16,Bloody Hell,/app/2056220/,1/27/23,395,1308,22,1330,92.8,Indie (23),"Action (1), Adventure (25), Free to Play (37), Indie (23)",Pun Intended,Pun Intended,Engine.Unity; SDK.Discord; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP,1/27/23,98,60,69,395,1/29/23
17,DREDGE,/app/1562430/,3/30/23,12686,5632,234,5866,92.63,Adventure (25),"Adventure (25), RPG (3)",Team17,Black Salt Games,Engine.Unity; SDK.UnityURP; SDK.cURL,3/30/23,96,"7,523","7,523",12686,4/2/23
18,Your Only Move Is HUSTLE,/app/2212330/,2/2/23,3405,5664,245,5909,92.5,Indie (23),"Action (1), Indie (23), Simulation (28), Strategy (2)",Ivy Sly,Ivy Sly,Engine.Godot,1/3/23,95,745,"1,255",3405,2/18/23
19,Touhou Hero of Ice Fairy,/app/1955830/,2/25/23,573,736,8,744,92.24,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3), Early Access (70)",GAMEPULSE 游戏脉冲,GAMEPULSE 游戏脉冲,Engine.Unity; SDK.UnityURP,4/14/23,98,69,81,573,2/25/23
20,Your Turn To Die -Death Game By Majority- ,/app/2067780/,2/20/23,471,616,4,620,92.23,Indie (23),"Adventure (25), Indie (23), Early Access (70)",0UP GAMES,Nankidai,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,2/17/23,99,39,47,471,2/20/23
21,DR LIVESEY ROM AND DEATH EDITION,/app/2181930/,2/13/23,818,4397,221,4618,91.65,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3), Simulation (28)",Agafonoff,Agafonoff,Engine.Unity; SDK.SteamworksNET; SDK.cURL,11/22/22,95,43,50,818,4/6/23
22,Half-Life: MMod,/app/1761270/,3/14/23,1027,1222,39,1261,91.44,Action (1),Action (1),Gunship_Mark_II,MMod Team,Engine.GoldSource; SDK.CEF; SDK.Miles_Sound_System; SDK.SDL,3/14/23,96,90,106,1027,3/14/23
23,Hogwarts Legacy,/app/990080/,2/10/23,879308,179479,14684,194163,91.35,Adventure (25),"Action (1), Adventure (25), RPG (3)",Warner Bros. Games,Avalanche Software,Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_XeSS; SDK.NVIDIA_Ansel; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.Wwise; SDK.XAudio2,2/14/23,92,"34,741","34,741",879308,2/12/23
24,Big Ambitions,/app/1331550/,3/10/23,10961,3976,218,4194,91.17,Simulation (28),"Indie (23), Simulation (28), Early Access (70)",Hovgaard Games,Hovgaard Games,Engine.Unity; SDK.UnityBurst; SDK.UnityHDRP,3/9/23,94,"2,913","2,913",10961,3/12/23
25,Apewar,/app/2306590/,3/24/23,361,1313,50,1363,91.06,Action (1),"Action (1), Casual (4), Indie (23), Strategy (2), Early Access (70)",Gombe Games,Gombe Games,Engine.Unity,3/27/23,96,91,190,361,3/31/23
26,Meg's Monster,/app/1783360/,3/2/23,195,484,7,491,91.06,RPG (3),"Adventure (25), Indie (23), RPG (3)",Odencat,Odencat,nan,3/2/23,98,18,26,195,3/5/23
27,The Test: Secrets of the Soul,/app/2231890/,2/20/23,16,527,9,536,91.04,Simulation (28),"Adventure (25), Casual (4), Free to Play (37), Indie (23), RPG (3), Simulation (28)",Randumb Studios,Randumb Studios,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,12/17/22,98,2,4,16,2/21/23
28,Barotrauma,/app/602960/,3/13/23,19655,41677,3286,44963,90.99,Indie (23),"Action (1), Indie (23), Simulation (28), Strategy (2)",Daedalic Entertainment,FakeFish,Engine.MonoGame; SDK.SDL; SDK.Vorbis,3/13/23,92,"7,552","7,811",19655,11/14/21
29,觅长生,/app/1189490/,1/13/23,26379,17906,1323,19229,90.91,Indie (23),"Indie (23), RPG (3), Strategy (2)",Chalcedony Network,Chalcedony Network,Engine.Unity,1/13/23,93,"3,942","4,391",26379,1/26/23
30,Birth,/app/1889040/,2/17/23,183,442,7,449,90.74,Indie (23),"Adventure (25), Indie (23)",Madison Karrh,Madison Karrh,Engine.Unity; SDK.SteamworksNET; SDK.cURL,1/19/23,98,23,39,183,4/1/23
31,Contraband Police,/app/756800/,3/8/23,8124,4519,282,4801,90.69,Simulation (28),"Action (1), Adventure (25), Simulation (28)",PlayWay S.A.,Crazy Rocks,Engine.Unity; SDK.Vorbis,3/8/23,94,"1,558","1,589",8124,3/12/23
32,Bing in Wonderland,/app/1710100/,1/13/23,977,1184,48,1232,90.69,Action (1),"Action (1), Casual (4), Indie (23)",Wanba Studio,Wanba Studio,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.Wwise; SDK.cURL,4/3/23,96,97,141,977,1/14/23
33,Luck be a Landlord,/app/1404850/,1/6/23,2544,6625,459,7084,90.5,Indie (23),"Indie (23), Simulation (28), Strategy (2)",TrampolineTales,TrampolineTales,Engine.Godot,1/5/23,93,408,417,2544,3/23/21
34,Durka Simulator,/app/1450150/,3/21/23,48,1598,80,1678,90.4,Indie (23),"Free to Play (37), Indie (23), Simulation (28)",Alcohol Studios,Crucial Experiment,Engine.RenPy; SDK.SteamworksNET,4/8/23,95,3,7,48,4/1/21
35, Dead Space,/app/1693980/,1/27/23,30925,21792,1820,23612,90.25,Adventure (25),"Action (1), Adventure (25)",Electronic Arts,Motive,Engine.Frostbite; SDK.AMD_GPU_Services; SDK.NVIDIA_DLSS,2/27/23,92,761,772,30925,1/28/23
36,PARANORMASIGHT: The Seven Mysteries of Honjo,/app/2106840/,3/8/23,582,654,24,678,89.93,Adventure (25),"Adventure (25), RPG (3), Simulation (28)",Square Enix,Square Enix,Engine.Unity; SDK.UnityBurst,3/8/23,96,124,148,582,3/19/23
37,Patch Quest,/app/1347970/,3/2/23,2356,1357,72,1429,89.92,Indie (23),"Action (1), Adventure (25), Indie (23)",Curve Games,Lychee Game Labs,Engine.Unity; SDK.Discord,4/6/23,94,119,134,2356,3/4/23
38,Vertigo 2,/app/843390/,3/30/23,295,497,15,512,89.88,Adventure (25),"Action (1), Adventure (25), Indie (23)",Zulubo Productions,Zach Tsiakalis-Brown,Engine.Unity; SDK.OpenVR; SDK.Steam_Audio,1/29/23,97,78,96,295,3/31/23
39,Larcin Lazer,/app/1707400/,1/24/23,38,223,1,224,89.85,Indie (23),"Action (1), Casual (4), Indie (23)",Tambouille,Tambouille,SDK.NWJS; SDK.NodeJS,1/23/23,99,1,2,38,1/25/23
40,Fallen Hero: Retribution,/app/1343810/,2/2/23,379,242,2,244,89.79,Indie (23),"Action (1), Adventure (25), Casual (4), Indie (23), RPG (3)",Hosted Games,Hosted Games,Container.Electron,7/2/22,99,11,20,379,2/2/23
41,Scarlet Maiden,/app/1968840/,1/27/23,736,895,42,937,89.72,Action (1),"Action (1), Adventure (25), Early Access (70)",Critical Bliss,Otterside Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,1/19/23,95,66,72,736,1/28/23
42,Landfall Archives,/app/2353760/,3/31/23,1247,695,29,724,89.66,Action (1),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23), Simulation (28), Strategy (2)",Landfall,Landfall,Engine.Unity; SDK.FMOD; SDK.Photon; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,3/11/23,96,155,163,1247,4/1/23
43,Elong Plug,/app/2172030/,2/25/23,34,231,2,233,89.63,Free to Play (37),"Adventure (25), Casual (4), Free to Play (37), Indie (23)",AriaMohebi,Aria Mohebi,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,1/25/23,99,2,4,34,3/4/23
44,The Symbiant,/app/1883090/,2/2/23,120,284,5,289,89.51,Indie (23),"Casual (4), Indie (23), Simulation (28)",HeartCoreDev,HeartCoreDev,Engine.RenPy,2/8/23,98,4,7,120,2/4/23
45,Shogun Showdown: Prologue,/app/2316330/,4/4/23,590,274,5,279,89.37,Strategy (2),"Free to Play (37), RPG (3), Strategy (2)",Goblinz Publishing,Roboatino,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,4/4/23,98,82,88,590,4/5/23
46,流光易逝的夏末 - Fleeting Summer's End,/app/2205290/,1/6/23,22,165,0,165,89.27,RPG (3),RPG (3),高柳堂,高柳堂,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,12/23/22,100,0,1,22,1/6/23
47,Lake Haven - Chrysalis,/app/1696960/,1/18/23,24,246,4,250,89.23,Adventure (25),"Action (1), Adventure (25)",Encrypt Games,Encrypt Games,Engine.Unity; SDK.UnityBurst; SDK.cURL,1/18/23,98,0,3,24,1/22/23
48,The Legend of Heroes: Trails to Azure,/app/1668520/,3/14/23,884,183,1,184,89.18,RPG (3),RPG (3),NIS America Inc.,Nihon Falcom,SDK.Discord,3/14/23,98,318,331,884,3/19/23
49,Half-Life 2: VR Mod - Episode One,/app/2177750/,3/17/23,193,237,4,241,89.08,Action (1),"Action (1), Adventure (25)",Source VR Mod Team,Source VR Mod Team,Engine.Source; SDK.Bink_Video; SDK.CEF; SDK.Miles_Sound_System; SDK.OpenVR; SDK.SDL; SDK.SteamworksNET,4/2/23,98,39,39,193,3/17/23
50,q.u.q.,/app/2302140/,2/27/23,24,283,7,290,88.96,Indie (23),Indie (23),Nikita Kryukov,motijan,Engine.RenPy,2/2/23,97,8,15,24,2/27/23
51,The Last Spell,/app/1105670/,3/9/23,6755,7268,659,7927,88.89,Strategy (2),"Action (1), Indie (23), RPG (3), Strategy (2)",The Arcade Crew,Ishtar Games,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/14/23,91,"1,837","1,869",6755,6/6/21
52,EMPTY SHELL: PROLOGUE,/app/2224850/,1/6/23,130,628,31,659,88.88,Free to Play (37),"Action (1), Adventure (25), Free to Play (37), Indie (23)",Hyperstrange,CC ARTS,Engine.Unity; SDK.SteamworksNET; SDK.cURL,12/11/22,95,4,12,130,1/14/23
53,Sifu,/app/2138710/,3/28/23,3189,1727,125,1852,88.76,Action (1),"Action (1), Indie (23)",Sloclap,Sloclap,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,4/13/23,92,960,"1,038",3189,4/1/23
54,方寸文明,/app/2230280/,1/1/23,1414,787,45,832,88.7,Strategy (2),Strategy (2),喜人一个,喜人一个,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,12/7/22,94,111,126,1414,1/6/23
55,Crimson Snow,/app/2067790/,3/29/23,103,758,43,801,88.67,Adventure (25),"Action (1), Adventure (25), Indie (23)",Steppe Hare Studio,Steppe Hare Studio,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,11/24/22,94,9,14,103,12/23/22
56,通神榜 Noobs Want to Live,/app/1737340/,2/14/23,8622,3135,263,3398,88.61,Casual (4),"Action (1), Adventure (25), Casual (4), Indie (23)",Lightning Games,元气弹工作室,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2/16/23,92,641,718,8622,2/16/23
57,스테퍼 케이스: 초능력 추리 어드벤처,/app/2128480/,3/10/23,134,242,6,248,88.54,Adventure (25),"Adventure (25), Early Access (70)",Team Tetrapod,Team Tetrapod,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,3/6/23,97,50,59,134,3/19/23
58,Ages of Conflict: World War Simulator,/app/2186320/,2/17/23,312,442,20,462,88.47,Simulation (28),"Casual (4), Indie (23), Simulation (28), Early Access (70)",JoySpark Games,JoySpark Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2/9/23,95,183,183,312,2/25/23
59,RHYTHM SPROUT,/app/1475840/,2/1/23,204,311,11,322,88.4,Indie (23),"Action (1), Adventure (25), Indie (23)",tinyBuild,SURT,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2/2/23,96,7,20,204,2/2/23
60,Mortal Sin,/app/1494810/,3/15/23,191,280,9,289,88.38,Action (1),"Action (1), Indie (23), RPG (3), Early Access (70)",Nikola Todorovic,Nikola Todorovic,Engine.Unity; SDK.UnityBurst,3/10/23,96,14,20,191,3/17/23
61,Figment 2: Creed Valley,/app/1085220/,3/9/23,62,183,3,186,88.37,Adventure (25),"Action (1), Adventure (25), Indie (23)",Bedtime Digital Games,Bedtime Digital Games,Engine.Unity; SDK.UnityBurst; SDK.cURL,3/9/23,98,3,14,62,3/10/23
62,Locke(d),/app/2267810/,1/23/23,30,470,23,493,88.33,Free to Play (37),"Free to Play (37), Indie (23)",KigyoDev,KigyoDev,Engine.RenPy,4/14/23,95,1,5,30,1/28/23
63,Cultivation Story: Reincarnation,/app/1866880/,1/30/23,1626,1392,104,1496,88.28,Indie (23),"Action (1), Adventure (25), Indie (23), RPG (3)",Chi Entertainment Corp.,Chi Entertainment Corp.,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,1/31/23,93,157,162,1626,2/8/23
64,Gorilla Tag,/app/1533390/,1/1/23,1679,26120,2876,28996,88.26,Action (1),"Action (1), Casual (4)",Another Axiom,Another Axiom,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Photon; SDK.UnityBurst,12/28/22,90,"1,154","1,154",1679,4/3/22
65,SpongeBob SquarePants: The Cosmic Shake,/app/1282150/,1/31/23,1949,1203,88,1291,88.19,Action (1),Action (1),THQ Nordic,Purple Lamp,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_Ansel; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2/10/23,93,43,50,1949,1/31/23
66,Can of Wormholes,/app/1295320/,3/24/23,165,138,1,139,88.15,Indie (23),Indie (23),munted finger,munted finger,SDK.OpenAL,3/19/23,99,49,49,165,3/25/23
67,Love Love School Days,/app/1305300/,2/6/23,277,316,13,329,88.01,Action (1),"Action (1), Adventure (25), Indie (23)",OTL GAME,OTL GAME,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,4/19/22,96,21,35,277,2/6/23
68,Die in the Dungeon PROLOGUE,/app/2214080/,1/12/23,379,311,13,324,87.92,Indie (23),"Indie (23), RPG (3), Strategy (2)",DitD Team,DitD Team,Engine.Unity; SDK.SteamworksNET; SDK.cURL,1/19/23,96,16,18,379,1/22/23
69,Season,/app/695330/,1/31/23,461,747,50,797,87.88,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Scavengers Studio,Scavengers Studio,Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenXR; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,4/14/23,93,24,24,461,2/1/23
70,Halls of Torment Prelude,/app/2316660/,3/9/23,1080,597,37,634,87.83,Action (1),"Action (1), Casual (4), Indie (23), RPG (3)",Chasing Carrots,Chasing Carrots,Engine.Godot,2/22/23,94,129,151,1080,3/28/23
71,挂机神话,/app/1863750/,4/7/23,1142,1326,107,1433,87.76,Indie (23),"Casual (4), Indie (23), RPG (3), Strategy (2)",摸鱼猫工作室,摸鱼猫工作室,Engine.Unity,4/7/23,92,480,534,1142,5/19/22
72,Demons Roots,/app/1933660/,1/14/23,612,575,36,611,87.72,Indie (23),"Adventure (25), Indie (23), RPG (3)",Kagura Games,Quick nail Aristocrat,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,3/9/23,93,54,60,612,1/16/23
73,24 Killers,/app/1668310/,3/9/23,29,105,0,105,87.72,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Happy Shabby Games,Happy Shabby Games,Engine.Adobe_AIR,3/9/23,100,1,4,29,3/10/23
74,Demonologist,/app/1929610/,3/27/23,8806,2737,259,2996,87.64,Adventure (25),"Action (1), Adventure (25), Indie (23), Early Access (70)",Clock Wizard Games,Clock Wizard Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_Nsight_Aftermath; SDK.Vivox; SDK.Vorbis; SDK.XAudio2,3/18/23,91,"4,463","7,518",8806,4/9/23
75,Mr. Saitou,/app/628740/,3/23/23,61,214,7,221,87.62,Adventure (25),"Adventure (25), Indie (23), RPG (3)",Laura Shigihara,Laura Shigihara,nan,3/14/23,96,1,6,61,3/23/23
76,Aliens After Ava,/app/1995780/,1/13/23,14,119,1,120,87.56,Action (1),"Action (1), Free to Play (37), Indie (23)",Alejandro Hervella,Alejandro Hervella,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,7/12/22,99,0,2,14,1/22/23
77,The Light Brigade,/app/1579880/,2/22/23,156,445,26,471,87.51,Action (1),"Action (1), RPG (3), Strategy (2)",Funktronic Labs,Funktronic Labs,Engine.Unity; SDK.OpenXR; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,3/3/23,94,30,30,156,2/26/23
78,SkyIsland,/app/2302640/,2/15/23,216,478,29,507,87.49,Indie (23),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23)",Team.Olympus,Team.Olympus,Engine.Unity; SDK.FMOD; SDK.UnityBurst,2/12/23,94,9,14,216,2/16/23
79,HOPE LEFT ME,/app/2268470/,3/10/23,14,150,3,153,87.49,Casual (4),"Casual (4), Indie (23)",.orphans,Astrophysics,Engine.Unity; SDK.SteamworksNET; SDK.cURL,1/12/23,98,0,3,14,3/11/23
80,Creepy Tale 3: Ingrid Penance,/app/1761780/,3/9/23,121,165,4,169,87.48,Adventure (25),"Adventure (25), Indie (23)",Creepy Brothers,Creepy Brothers,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,3/30/23,97,22,27,121,3/11/23
81,VOYAGER,/app/2119210/,3/25/23,9,116,1,117,87.46,Adventure (25),"Adventure (25), Casual (4), Indie (23), Simulation (28)",Planetary Gears,Planetary Gears,Engine.GameMaker,3/6/23,99,1,3,9,3/26/23
82,Plasma,/app/1409160/,3/30/23,358,161,4,165,87.36,Simulation (28),"Indie (23), Simulation (28), Early Access (70)",Dry Licorice,Dry Licorice,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,3/30/23,96,60,67,358,3/30/23
83,NOeSIS Ⅱ-人间无常,/app/1625230/,2/26/23,17,113,1,114,87.35,RPG (3),"Casual (4), Free to Play (37), RPG (3)",Red × Balloon,Red × Balloon,Engine.NScripter,2/26/23,99,1,3,17,3/4/23
84,memories,/app/2219470/,2/3/23,38,376,21,397,87.34,Indie (23),"Adventure (25), Casual (4), Free to Play (37), Indie (23), Simulation (28)",Spookulele Games,guiyyu,Engine.Unity; SDK.SteamworksNET; SDK.cURL,1/29/23,94,2,7,38,2/4/23
85,Pleh!,/app/2191550/,3/17/23,124,315,16,331,87.3,Free to Play (37),"Adventure (25), Free to Play (37), Indie (23)",Jester Games,Jester Games,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.cURL,10/19/22,94,7,11,124,3/25/23
86,Sun Haven,/app/1432860/,3/11/23,12706,5357,587,5944,87.19,Simulation (28),"Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28)",Pixel Sprout Studios,Pixel Sprout Studios,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP,3/22/23,90,"4,651","4,977",12706,3/19/23
87,Atelier Ryza 3: Alchemist of the End & the Secret Key,/app/1999770/,3/24/23,7162,717,54,771,87.19,RPG (3),"Adventure (25), Casual (4), RPG (3), Simulation (28)",KOEI TECMO GAMES CO. LTD.,KOEI TECMO GAMES CO. LTD.,nan,3/24/23,93,"2,029","2,520",7162,3/26/23
88,Above Snakes: Prologue,/app/2209150/,3/24/23,3672,1116,95,1211,87.18,Simulation (28),"Adventure (25), RPG (3), Simulation (28)",Crytivo,Square Glade Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,3/24/23,92,102,126,3672,3/27/23
89,Metroplex Zero,/app/1412960/,3/31/23,16,91,0,91,87.18,Strategy (2),"Strategy (2), Early Access (70)",Enigma Dragons LLC,Enigma Dragons LLC,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,4/3/23,100,0,2,16,3/31/23
90,SimRail - The Railway Simulator,/app/1422130/,1/13/23,1914,1253,110,1363,87.16,Simulation (28),"Simulation (28), Early Access (70)",PlayWay S.A.,SimRail S.A.,Engine.Unity; SDK.NVIDIA_DLSS,1/13/23,92,419,483,1914,1/13/23
91,SpunkStock: Music Festival,/app/1863290/,1/26/23,277,165,5,170,87.05,Action (1),"Action (1), Indie (23)",RegulusNSFW,RegulusNSFW,Engine.Unity; SDK.UnityURP; SDK.cURL,1/26/23,96,4,14,277,1/27/23
92,Farlanders,/app/1318740/,1/17/23,251,313,17,330,87.03,Strategy (2),"Indie (23), Simulation (28), Strategy (2)",Crytivo,Andriy Bychkovskyi,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,1/17/23,94,9,14,251,1/21/23
93,Clash: Artifacts of Chaos,/app/1430680/,3/9/23,148,306,17,323,86.89,Action (1),"Action (1), Adventure (25), Indie (23)",Nacon,ACE Team,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,3/9/23,94,10,17,148,3/12/23
94,Glory & Miserable Survivors DX,/app/2178330/,3/16/23,776,390,26,416,86.63,Action (1),"Action (1), Casual (4), RPG (3)",Mango Party,TLACHTLI,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/16/23,93,117,117,776,3/17/23
95,Soundodger 2,/app/1400910/,4/10/23,53,109,2,111,86.55,Action (1),"Action (1), Casual (4), Indie (23)",Studio Bean,Studio Bean,Engine.Unity; SDK.Discord; SDK.cURL,3/27/23,98,11,24,53,10/11/21
96,Caves of Lore,/app/2227130/,1/21/23,103,148,5,153,86.47,RPG (3),"Indie (23), RPG (3), Strategy (2)",by Mike Robins,by Mike Robins,Engine.Unity; SDK.SteamworksNET,4/12/23,96,10,11,103,1/29/23
